Country,CO2,Population,Happiness,Code,Year,Life Expectancy,SPM,Percentage of all deaths caused by air pollution
Afghanistan,178502925.0,38972230.0,5146832099969.799,AFG,2019.0,63.6,0.64,16.61
Albania,277278189.0,2866849.0,5146832099969.799,ALB,2019.0,79.3,0.67,9.54
Algeria,4107869896.0,43451666.0,145000000000.0,DZA,2019.0,76.5,0.75,10.73
Andorra,13717377.0,77700.0,5146832099969.799,AND,2019.0,83.0,1.31,2.17
Angola,623762311.0,33428485.0,5146832099969.799,AGO,2019.0,62.4,1.04,9.52
Antigua and Barbuda,21756717.0,92664.0,5146832099969.799,ATG,2019.0,78.7,0.45,4.89
Argentina,7977373398.0,45036032.0,5146832099969.799,ARG,2019.0,77.3,1.44,3.91
Armenia,273731872.0,2805608.0,5146832099969.799,ARM,2019.0,75.4,1.03,11.37
Australia,17360810555.0,25670051.0,1330000000000.0,AUS,2019.0,83.1,1.7,1.11
Austria,5303713347.0,8907777.0,433000000000.0,AUT,2019.0,81.9,1.72,3.22
Azerbaijan,2471780322.0,10284951.0,5146832099969.799,AZE,2019.0,73.1,0.5,10.87
Bahamas,157456745.0,406471.0,5146832099969.799,BHS,2019.0,71.2,0.43,3.71
Bahrain,826530054.0,1477469.0,5146832099969.799,BHR,2019.0,80.0,1.81,14.67
Bangladesh,1361147180.0,167420951.0,323000000000.0,BGD,2019.0,72.8,0.87,20.33
Barbados,51506565.0,280693.0,5146832099969.799,BRB,2019.0,77.3,0.48,5.46
Belarus,4058119852.0,9633740.0,5146832099969.799,BLR,2019.0,74.2,1.86,6.78
Belgium,12257548524.0,11561717.0,522000000000.0,BEL,2019.0,81.8,1.94,3.31
Belize,17162217.0,394921.0,1636280797.0,BLZ,2019.0,73.9,1.39,6.79
Benin,98792204.0,12643123.0,15651545332.0,BEN,2019.0,60.5,0.8,15.17
Bermuda,27146704.0,64031.0,6842700000.0,BMU,2019.0,81.0,0.5,1.63
Bhutan,13762670.0,772506.0,5146832099969.799,BTN,2019.0,71.4,0.96,16.15
Bolivia,461310418.0,11936162.0,36572764863.0,BOL,2019.0,67.8,0.98,8.56
Bosnia and Herzegovina,839470358.0,3318407.0,5146832099969.799,BIH,2019.0,77.2,0.98,12.36
Botswana,131552447.0,2546402.0,15061922802.0,BWA,2019.0,65.5,1.89,8.91
Brazil,14190905220.0,213196304.0,5146832099969.799,BRA,2019.0,75.3,0.96,4.28
Brunei,335970645.0,441725.0,5146832099969.799,BRN,2019.0,74.7,1.31,2.09
Bulgaria,3703285889.0,6979175.0,5146832099969.799,BGR,2019.0,75.1,0.87,8.5
Burkina Faso,50218081.0,21522626.0,17933606353.0,BFA,2019.0,60.0,0.77,15.19
Burundi,10728250.0,12220227.0,2841786382.0,BDI,2019.0,62.4,0.96,16.01
Cambodia,105225247.0,16396860.0,5146832099969.799,KHM,2019.0,70.7,0.71,16.55
Cameroon,194766284.0,26491087.0,40804449726.0,CMR,2019.0,61.6,1.09,12.74
Canada,31913521876.0,37888705.0,1650000000000.0,CAN,2019.0,82.4,1.63,1.5
Cape Verde,11572647.0,582640.0,5146832099969.799,CPV,2019.0,76.0,2.33,12.44
Central African Republic,11448062.0,5343020.0,2380087758.0,CAF,2019.0,55.0,0.91,13.73
Chad,14410061.0,16644701.0,10829076802.0,TCD,2019.0,53.3,0.64,16.06
Chile,2657499285.0,19300315.0,253000000000.0,CHL,2019.0,80.3,1.77,5.41
China,200000000000.0,1424929781.0,14700000000000.0,CHN,2019.0,78.0,1.14,16.7
Colombia,3110040939.0,50930662.0,271000000000.0,COL,2019.0,76.8,1.11,6.32
Comoros,4221082.0,806166.0,5146832099969.799,COM,2019.0,64.1,0.81,13.22
Congo,70573384.0,33501070.952991452,5146832099969.799,COG,2019.0,62.7,1.18,11.33
Cook Islands,2044872.0,17029.0,5146832099969.799,COK,2019.0,74.6,1.4,2.28
